created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Jan 22 13:28:44 +0000 2024,1749423853867311206,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/7dFGQuUt4F  #KardusDurenGorenganPolitik @aniesbaswedan  @cakimiNOW,0,0,0,0,in,193634780,1749423853867311206,rfsiregar,https://twitter.com/rfsiregar/status/1749423853867311206
Mon Jan 22 13:28:37 +0000 2024,1749423824737804302,@fitsa_ranger @neohistoria_id Sebagaimana ayat yg dibawakan Pak Mahfudz sama Gus Muhaimin,0,0,0,8,in,1218786089458003968,1749364210809950630,ailakaciu,https://twitter.com/ailakaciu/status/1749423824737804302
Mon Jan 22 13:28:32 +0000 2024,1749423805121061256,#KardusDurenGorenganPolitik  @aniesbaswedan @cakimiNOW  Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/Kw5J5FPNri,0,0,0,0,in,3255700028,1749423805121061256,marinamanus15,https://twitter.com/marinamanus15/status/1749423805121061256
Mon Jan 22 13:28:09 +0000 2024,1749423709247692824,kardus durian di tahun politik tidak lebih hanya gorengan politik yang ingin menjatuhkan nama cawapres nomor urut 1 Abdul Muhaimin Iskandar  #KardusDurenGorenganPolitik  @aniesbaswedan @cakimiNOW https://t.co/hj5zZWuPUt,0,0,0,2,in,920276257249431553,1749423709247692824,KoyimahNurul,https://twitter.com/KoyimahNurul/status/1749423709247692824
Mon Jan 22 13:27:48 +0000 2024,1749423619850338783,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/Mlrwvyhc3H,0,0,0,0,in,727439959171297284,1749423619850338783,DzikrieIda,https://twitter.com/DzikrieIda/status/1749423619850338783
Mon Jan 22 13:27:38 +0000 2024,1749423576539914512,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/pEMxGl1kv0,0,0,0,1,in,1317462552,1749423576539914512,pandapotan97,https://twitter.com/pandapotan97/status/1749423576539914512
Mon Jan 22 13:27:28 +0000 2024,1749423536756621628,"Puas Penampilan Muhaimin Iskandar, Captain Timnas AMIN: Hanya Tiga Kata https://t.co/vPGE4tFWCA",0,0,24,58,in,1443801854756880385,1749423536756621628,kba_news,https://twitter.com/kba_news/status/1749423536756621628
Mon Jan 22 13:27:27 +0000 2024,1749423533963297096,Relawan AMIN Banjarnegara Antusias jadi Pejuang Saksi TPS Anies-Muhaimin https://t.co/hVTqfZQPjE,0,0,2,14,in,1443801854756880385,1749423533963297096,kba_news,https://twitter.com/kba_news/status/1749423533963297096
Mon Jan 22 13:27:23 +0000 2024,1749423514942419078,#KardusDurenGorenganPolitik  Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin @cakimiNOW  @aniesbaswedan https://t.co/dKlF9NZS8r,0,0,0,0,in,1615235518564012032,1749423514942419078,pandupro2000,https://twitter.com/pandupro2000/status/1749423514942419078
Mon Jan 22 13:27:17 +0000 2024,1749423488526692778,#kstfudzdurenGorengsnPolitik @Anirsbaseedan @CakimiNow Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/9ebL8xJ2CU,0,0,0,0,in,1366550854908604416,1749423488526692778,martha_nangi,https://twitter.com/martha_nangi/status/1749423488526692778
