created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Feb 04 14:09:06 +0000 2024,1754145057006031023,"Kita mungkin perlu belajar dari Pak Prabowo, betapa stroke bukanlah akhir dari segalanya @skybluetrsr_ ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/uni2IKZ5Gx https://t.co/kQVXbgHJQZ",0,0,0,0,in,1712749433304256512,1754145057006031023,LinaKhomalasari,https://twitter.com/LinaKhomalasari/status/1754145057006031023
Sun Feb 04 14:09:05 +0000 2024,1754145052652458343,@Duke_of_Nowhere @prabowo agak miss sih ini,0,1,0,0,in,1598639499470606337,1754144797231808700,exhaustedblack_,https://twitter.com/exhaustedblack_/status/1754145052652458343
Sun Feb 04 14:09:05 +0000 2024,1754145051859660936,"Ket mau Prabowo re omong alon2 akeh re muni e... E... E...""""",0,0,0,0,in,633703635,1754145051859660936,tyo_adrif1,https://twitter.com/tyo_adrif1/status/1754145051859660936
Sun Feb 04 14:09:05 +0000 2024,1754145050131632358,Mamaku denger Prabowo jawab pertanyaan soal pemberdayaan perempuan: “APA SIH???”,0,0,0,0,in,1255093370633912323,1754145050131632358,tessshyy,https://twitter.com/tessshyy/status/1754145050131632358
Sun Feb 04 14:09:04 +0000 2024,1754145049301164078,"nanya ke prabowo tentang perlindungan perempuan, gak terjawab wkwkwkwk jadi inget track record dia yang...",0,0,0,0,in,1264970596854624256,1754145049301164078,btltupperware,https://twitter.com/btltupperware/status/1754145049301164078
Sun Feb 04 14:09:04 +0000 2024,1754145048739119330,"Krn g paham materi, biasanya selalu bgitu. Hahaha",0,0,0,0,in,1088905177,1754145048739119330,Dunia_Que,https://twitter.com/Dunia_Que/status/1754145048739119330
Sun Feb 04 14:09:04 +0000 2024,1754145047820284141,"Wo, Prabowo. Kowe ki ngomong opo toh. Ditanya apa jawabnya apa.",0,1,0,0,in,62414938,1754145047820284141,Mirwanovich,https://twitter.com/Mirwanovich/status/1754145047820284141
Sun Feb 04 14:09:04 +0000 2024,1754145047761829924,"Ditanya perlindungan perempuan, malah jawabnya di sekolah nya ada banyak perempuan. Gimana dah? Prabowo",0,0,0,0,in,890604314,1754145047761829924,rizkiaan25,https://twitter.com/rizkiaan25/status/1754145047761829924
Sun Feb 04 14:09:04 +0000 2024,1754145046558048552,"Jangan salahkan rakyat kalau memilih capres lain, siapa yang mau punya presiden strokannya? @skeufixx ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/rIJ8ltbGhg",0,0,0,0,in,1712394468895391744,1754145046558048552,AlvinaYukii,https://twitter.com/AlvinaYukii/status/1754145046558048552
Sun Feb 04 14:09:04 +0000 2024,1754145046272831920,"Pak Anies: “Maaf, Pak Prabowo, bapak belum menjawab pertanyaan dari kami.”  Mohon dimaklumi aja, Pak Anies. Udah jam tidurnya prabs sebenarnya ini🙏🏻",0,0,1,0,in,894725620726284289,1754145046272831920,tenrenlight,https://twitter.com/tenrenlight/status/1754145046272831920
Sun Feb 04 14:09:03 +0000 2024,1754145045585023289,"Tuh kan hbs dijawab Prabowo. Pak Anies: bapak blm jawab pertanyaan saya""""",0,0,0,0,in,1301151854659657734,1754144219495895169,_wepew,https://twitter.com/_wepew/status/1754145045585023289
Sun Feb 04 14:09:03 +0000 2024,1754145045169799548,"@Nindaagustii @KangayamLombok @prabowo @gibran_tweet Kita percaya, KITAMaSBOWO KITAGBRan mampu memastikan keseimbangan NKRI serta menaikkan kesejahteraan rakyat, ini menjadi pilihan utama orang2. @prabowo @gibran_tweet  #DebatCapres2024 #Gaya02MemangPaten PAKBOwo TegasLUGAS",0,0,0,0,in,1550721836975276032,1754139217645752797,DeviaSafitry,https://twitter.com/DeviaSafitry/status/1754145045169799548
Sun Feb 04 14:09:03 +0000 2024,1754145043764728164,@MufidusSani @aniesbaswedan @prabowo @ganjarpranowo Imagine kalau semua orang keren ini beserta orang dibelakangnya koleb punya objektif buat Indonesia + JUJUR DAN AMANAH.,0,0,0,0,in,311370702,1754131199302520931,Agnibrataa,https://twitter.com/Agnibrataa/status/1754145043764728164
Sun Feb 04 14:09:03 +0000 2024,1754145043328450995,"Pak prabowo, saya yang bukan siapa siapa juga paham loh kalo pertanyaan pak Anies itu mengarah pada sexual harassment???",0,0,0,0,in,1174557102099988480,1754144560035573874,yaelahmark,https://twitter.com/yaelahmark/status/1754145043328450995
Sun Feb 04 14:09:03 +0000 2024,1754145043030704486,"yang gue bingung kenapa Prabowo nyari validasi ke paslon lain??? i mean ya jelas lo aja BEDA KUBU masa lo expect Ganjar setuju sama proker lo, itumah namanyakerja kelompok 😭",0,0,0,0,in,1956353084,1754145043030704486,telekinansis,https://twitter.com/telekinansis/status/1754145043030704486
Sun Feb 04 14:09:02 +0000 2024,1754145041088708863,"@BknPacarKmu Jokowi berhasil menghapus kemiskinan hingga Nol Persen di 18 Provinsi, Prabowo Gibran, semangat untuk melanjutkan program ini demi kemajuan Indonesia! NoIKemiskinan Targetnya02 #KemiskinanNolPersen02",0,0,0,0,in,1576617680588935168,1754136545899233720,keyoflife100,https://twitter.com/keyoflife100/status/1754145041088708863
